Incident Date,State,City Or County,Address,# Killed,# Injured,#Total
26-Sep-20,Illinois,Chicago,2400 block of W Lithuanian Plaza Ct,0,4,4
26-Sep-20,Missouri,Saint Louis,4700 block of Vernon Ave,0,5,5
25-Sep-20,Pennsylvania,Philadelphia,1300 block of Sanger St,0,4,4
23-Sep-20,Georgia,Hampton,1577 Glynn Ct,1,3,4
23-Sep-20,Minnesota,Minneapolis,200 W Broadway Ave,0,5,5
21-Sep-20,Ohio,Struthers,111 Perry St,1,4,5
20-Sep-20,New York,Corona (Queens),Merrick Blvd and Foch Blvd,0,4,4
20-Sep-20,Connecticut,Stamford,Ursula Pl and Dale St,1,3,4
19-Sep-20,New York,Buffalo,Glenwood Ave and Jefferson Ave,1,4,5
19-Sep-20,Illinois,Chicago,12200 block of S May St,0,4,4
19-Sep-20,Illinois,Chicago,6900 block of S Claremont Ave,0,4,4
19-Sep-20,New Jersey,Plainfield,523 W 3rd St,0,4,4
19-Sep-20,New York,Rochester,278 Pennsylvania Ave,2,14,16
19-Sep-20,New Jersey,Paterson,Elizabeth St and Getty Ave,0,5,5
19-Sep-20,Arkansas,West Memphis,900 block of Winchell St,0,5,5
18-Sep-20,Arkansas,Little Rock,5311 Mabelvale Pike,0,4,4
16-Sep-20,Pennsylvania,Philadelphia,1800 Wallace St,2,3,5
15-Sep-20,California,San Jose,600 block of S 8th St,2,4,6
15-Sep-20,Illinois,Chicago,3500 block of W Lawrence Ave,0,5,5
14-Sep-20,Louisiana,Baker,Burgess Dr,0,4,4
13-Sep-20,Tennessee,Manchester,I-24 and McMinnville Hwy,3,3,6
13-Sep-20,Michigan,Grand Rapids,3950 Stahl Dr SE,0,7,7
13-Sep-20,Florida,Tampa,5110 N 40th St,0,4,4
13-Sep-20,Illinois,Chicago,6100 block of S Throop St,1,3,4
13-Sep-20,New Jersey,New Brunswick,32 Delafield St,2,7,9
12-Sep-20,Illinois,Chicago,100 block of N Pine Ave,2,4,6
12-Sep-20,North Carolina,Wilson,200 block of Dewey St,0,5,5
12-Sep-20,Pennsylvania,Philadelphia,N 18th St and Dauphin St,0,4,4
11-Sep-20,Louisiana,Donaldsonville,St Elizabeth St and Front St,0,5,5
10-Sep-20,Louisiana,New Orleans,4100 block of Rayne Dr,3,2,5
8-Sep-20,Maryland,Baltimore,2300 block of Greenmount Ave,0,5,5
7-Sep-20,Louisiana,New Orleans,1500 block of Freret St,0,4,4
7-Sep-20,New York,Brooklyn,Norstrand Ave and Crown St,0,5,5
7-Sep-20,California,Aguanga,45125 Highway 371,7,0,7
7-Sep-20,Indiana,Indianapolis,W 38th St and Graceland Ave,1,4,5
6-Sep-20,Georgia,Sparta,Faye St and Lee St,1,6,7
6-Sep-20,Illinois,Chicago,S Kingston Ave and E 77th St,0,4,4
6-Sep-20,Tennessee,Memphis,6555 Lost Oak Dr,0,4,4
6-Sep-20,Colorado,Commerce City,6700 block of Birch St,0,4,4
6-Sep-20,Missouri,Kansas City,3999 Swope Pkwy,0,6,6
6-Sep-20,Missouri,Saint Louis,5700 block of Minerva Ave,1,3,4
6-Sep-20,Louisiana,New Iberia,1752 Center St,0,5,5
6-Sep-20,Maryland,Baltimore,4900 block of Reisterstown Rd,0,4,4
5-Sep-20,Texas,Houston,9940 Fondren Rd,0,4,4
5-Sep-20,Maryland,Baltimore,2000 block of W Lexington St,1,3,4
5-Sep-20,Florida,Williston,Co Rd 318 and US-27 Alt,0,6,6
5-Sep-20,Arkansas,Little Rock,400 President Clinton Ave,0,4,4
3-Sep-20,South Carolina,Anderson,R St and Chase Ave,1,3,4
3-Sep-20,Florida,Miami,2000 block of NW 71st St,1,3,4
3-Sep-20,Arkansas,Hensley,Woodson Lateral Rd and I-530,1,3,4
3-Sep-20,Pennsylvania,Philadelphia,700 block of E Chelten Ave,0,6,6
3-Sep-20,Arkansas,Little Rock,19 Nandina Cir,0,4,4
2-Sep-20,Pennsylvania,Philadelphia,1800 block of Moore St,2,2,4
2-Sep-20,Georgia,Albany,1400 block of E Residence Ave,1,3,4
2-Sep-20,California,Oakland,Kerwin Ave and 105th Ave,0,4,4
31-Aug-20,Pennsylvania,Philadelphia,1500 block of W Clearfield St,0,5,5
31-Aug-20,Florida,Tallahassee,2660 Old Bainbridge Rd,0,4,4
30-Aug-20,Kentucky,Lexington,545 N Upper St,0,7,7
30-Aug-20,Illinois,Zion,2300 block of Joppa Ave,1,3,4
30-Aug-20,Texas,San Antonio,S Olive St and Aransas Ave,2,2,4
30-Aug-20,New York,Buffalo,500 block of Fillmore Ave,1,4,5
30-Aug-20,Pennsylvania,Philadelphia,5317 Oxford Ave,0,4,4
30-Aug-20,Illinois,Chicago,11601 S Western Ave,1,4,5
30-Aug-20,Kentucky,Madisonville,400 block of Elm St,0,5,5
29-Aug-20,Nevada,Las Vegas,777 E Twain Ave,2,2,4
29-Aug-20,Illinois,Rock Island,1800 2nd Ave,1,5,6
28-Aug-20,Minnesota,Minneapolis,2400 block of Irving Ave N,0,4,4
